Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
176,Feito,com.app.feito,Coupons & Rewards,26085,136229,15588,10497,16073,85037,3.11,00:01:00,00:03:06,1.76,homens,dois
178,AiHelper: Sales and Parcels,com.xyz.alihelper,E-Commerce (C2C),25768,347699,13637,12131,35466,322979,7.78,00:00:34,00:04:26,2.3,homens,dois
179,LightInTheBox Online Shopping,com.lightinthebox.android,E-Commerce (Retailer),25730,2073545,14653,11077,15171,92011,5.16,00:02:22,00:12:14,2.57,mulheres,dois
180,Soub!,com.b2w.soubarato,E-Commerce (B2C),24416,1861939,0,24416,83842,1005812,8.01,00:02:03,00:16:32,3.27,mulheres,tres
181,Nuvemshop: seu negócio em todo,com.nuvemshop.admin,E-Commerce (B2C),24348,264990,13954,10394,14551,106965,9.09,00:00:43,00:06:30,4.37,mulheres,dois
182,Atacadão Folhetos,com.nenedir.atacfolhetos,E-Commerce (Retailer),24306,78627,0,24306,2805,17750,7.95,00:00:44,00:05:49,4.32,homens,unico
183,Addi Shop,com.addimobile,BNPL,24246,79075,16228,8018,41736,43555,15.18,00:00:44,00:11:20,2.85,mulheres,tres
184,echope,br.com.echope,E-Commerce (Retailer),24160,156633,5076,19084,27712,84283,6.8,00:01:11,00:08:06,2.44,homens,dois
185,Império Móveis e Eletro,br.com.neomode.imperio,E-Commerce (Retailer),23726,468646,13739,9987,9573,58294,6.82,00:00:54,00:06:14,2.41,mulheres,unico
186,JBL PartyBox,com.jbl.partybox,E-Commerce (Retailer),23706,111702,12735,10971,5359,43272,10.49,00:01:29,00:15:44,2.61,homens,unico
188,Menor Preço Nota Gaúcha,br.gov.rs.procergs.mprs,Other Shopping,23328,133695,15079,8249,29395,181932,26.34,00:01:18,00:34:21,4.8,mulheres,dois
189,Meu Mundo Rommanel,br.com.rommanel.meumundo,E-Commerce (Retailer),23156,302105,12733,10423,10592,51834,19.55,00:00:39,00:12:47,3.41,mulheres,unico
191,ZINZANE,com.mobfiq.zinzane,E-Commerce (Retailer),21998,162365,13139,8859,30736,60225,10.36,00:03:53,00:40:22,2.96,mulheres,dois
194,Natal Cap,com.ideamaker.natalcap,E-Commerce (B2C),21289,112285,12256,9033,28769,91581,8.46,00:00:52,00:07:27,3.44,mulheres,dois
195,B4Waste,b4waste.alphacode.com.br,Other Shopping,21256,72716,6361,14895,40120,40592,3.47,00:01:59,00:06:55,1.93,mulheres,dois
196,Farmácias Nissei,com.inteliger.nissei,Pharmacy & Drugstore,21022,55212,11426,9596,13283,13656,3,00:00:39,00:01:59,0.96,mulheres,unico
197,Vip Leilões – Compre e Venda e,com.VipLeiloes,Resell,20890,137059,0,20890,6349,45135,10.96,00:00:56,00:10:21,1.71,homens,unico
198,Grupo Grazziotin,com.grazziotin,E-Commerce (Retailer),20718,201643,12750,7968,11445,98368,5.25,00:01:06,00:05:48,2.1,mulheres,unico
202,AppSales,net.tsapps.appsales,E-Commerce (C2C),19742,167462,0,19742,40662,159619,24.89,00:00:54,00:22:47,6.98,homens,dois
204,Cartão lojasmel,br.com.portaldocartao.cartaolojasmel,Pharmacy & Drugstore,19213,96627,11147,8066,21602,35991,7.3,00:01:45,00:12:52,2.62,mulheres,dois
205,Lojas Marabraz,com.app.marabraz,E-Commerce (Retailer),19149,247597,11318,7831,1337,62374,5.54,00:01:24,00:07:50,1.57,homens,unico
206,Lyst,com.lyst.lystapp,E-Commerce (Retailer),18800,18948,9994,8806,9332,10589,2.91,00:01:10,00:03:25,0.96,homens,unico
207,Minha Azul,br.com.azul.comunicacao,E-Commerce (Retailer),18643,84602,9359,9284,22365,36340,38.13,00:01:04,00:40:41,8.78,homens,dois
208,Moda Center,br.com.modacenter.appoficial,E-Commerce (B2C),18476,89243,0,18476,9047,26526,6.25,00:01:46,00:11:07,1.81,mulheres,unico
210,Hirota em Casa,hirotafood.vorticeportal.com.br,E-Commerce (Retailer),18337,124488,8292,10045,16372,207454,6.58,00:01:33,00:10:17,2.16,mulheres,dois
211,Magazine Médica,br.com.twa.magazinemedica,E-Commerce (Retailer),18221,18238,6855,11366,12388,13364,2.05,00:00:00,00:00:01,0.96,homens,unico
212,Star Ofertas,com.r3mobi.starsystem,Coupons & Rewards,18109,634592,0,18109,10546,118008,5.39,00:01:07,00:06:03,2.3,mulheres,unico
213,Cartão FestCard,br.com.conductor.siteportador.festcard.marketpay,E-Commerce (Retailer),18038,129007,11362,6676,15969,76261,4.77,00:00:45,00:03:37,1.97,mulheres,dois
215,Oba Hortifruti,com.oba.hortifruti.app,E-Commerce (Retailer),17636,151372,9551,8085,21143,162185,5.33,00:01:55,00:10:17,1.32,mulheres,dois
217,Westwing - Casa e Decoração,br.westwing.android,E-Commerce (Retailer),17324,945234,9809,7515,91643,269189,10.9,00:02:23,00:26:00,4.62,mulheres,tres
218,Gang App,br.com.gang.musicplayer,E-Commerce (Retailer),17261,23875,10783,6478,39252,145481,4.31,00:01:25,00:06:07,1.87,mulheres,dois
219,C&C Casa e Construção,br.com.cec,E-Commerce (Retailer),17110,77326,1069,16041,5926,51501,19.56,00:00:34,00:11:17,4.86,mulheres,unico
221,Mooca Plaza Shopping: Compras ,br.com.brmalls.customer.moocaplaza,E-Commerce (Retailer),16937,48528,9717,7220,31932,83332,8.68,00:02:02,00:17:46,2.71,homens,dois
226,Menor Preço Brasil,br.gov.rs.procergs.mpbr,Other Shopping,16012,76919,9016,6996,23388,120815,9.92,00:01:30,00:15:02,2.46,homens,dois
227,Etsy: Custom & Creative Goods,com.etsy.android,E-Commerce (C2C),15856,191374,8805,7051,28286,103913,12.27,00:04:00,00:49:15,4.37,mulheres,dois
228,Zeuss App,com.tarkuss.zeus,Coupons & Rewards,15065,123329,8892,6173,12595,102622,4.07,00:00:47,00:03:14,2.1,homens,unico
231,LG Suporte,com.lge.supportlg,E-Commerce (Retailer),14375,280485,7433,6942,160703,3894536,2.12,00:00:16,00:00:33,1.44,homens,tres
236,Peruzzo Mais,com.peruzzomais.izio,E-Commerce (Retailer),13359,82328,7765,5594,14055,60803,5.62,00:00:53,00:04:58,2.94,homens,dois
238,ROMWE - Ultimate Cyber Mall,com.romwe,E-Commerce (Retailer),13192,148144,7787,5405,5074,11779,25.35,00:03:58,01:40:39,7.78,mulheres,unico
240,Droper Sneakers & Streetwear,com.s9.cataloko,E-Commerce (C2C),13008,78886,7377,5631,19447,94667,26.64,00:01:06,00:29:18,4.87,mulheres,dois
241,Rio Vermelho Atacadista,com.VRSoft.G280,E-Commerce (Retailer),12439,46399,7456,4983,36127,37487,12.73,00:00:41,00:08:53,3.86,mulheres,dois
243,Lojas REDE,com.lojasrede.mobile,E-Commerce (Retailer),12118,256393,7151,4967,23903,83354,6.71,00:03:47,00:25:23,2.4,mulheres,dois
244,OMO Lavanderia,br.com.taqtile.omolavanderia,E-Commerce (Retailer),12107,67723,6912,5195,25181,32708,15.37,00:01:06,00:17:09,2.57,mulheres,dois
245,Uniodonto Campinas,br.com.uniodontocampinas.cliente,Pharmacy & Drugstore,12099,96442,6924,5175,5223,118935,7.92,00:00:37,00:04:53,2.32,mulheres,unico
246,Revista Eudora - Catálogo,com.maggapps.revistaeudora,E-Commerce (B2C),11917,41209,0,11917,6800,8283,8.09,00:00:49,00:06:39,1.66,mulheres,unico
247,NorteShopping,br.com.brmalls.customer.norteshopping,E-Commerce (B2C),11796,108428,6535,5261,17723,145171,12.18,00:00:47,00:09:41,4.08,mulheres,dois
249,Americanas Marketplace,com.b2wdigital.bonmarketplace,E-Commerce (C2C),11001,111967,5368,5633,9265,54542,37.07,00:01:04,00:39:48,6.76,mulheres,unico
250,Cornershop for Shoppers,com.cornershopapp.shopper.android,E-Commerce (B2C),10671,212509,6602,4069,7453,65093,47.92,00:01:20,01:04:27,2.86,homens,unico
253,Vivara,tellerina.com.br.vivara,E-Commerce (Retailer),9428,316848,5162,4266,7455,70454,4.3,00:02:24,00:10:20,1.83,homens,unico
255,Nosso Caetano,br.com.smcaetano.appcaetano,E-Commerce (Retailer),8013,69626,0,8013,20711,56595,8.3,00:01:08,00:09:31,4.09,homens,dois
256,Animale - Moda Feminina,br.com.animale,E-Commerce (Retailer),7847,179352,2327,5520,12402,40918,12.62,00:01:41,00:21:26,2.25,mulheres,unico
257,My Easy Shopping List,com.edujoy.shopping.list,Other Shopping,7598,368580,3037,4561,8096,80279,5.51,00:02:14,00:12:24,1.69,mulheres,unico
258,Plaza Shopping Niterói,br.com.brmalls.customer.plazaniteroi,E-Commerce (B2C),7539,63602,3938,3601,18614,87426,9.03,00:00:58,00:08:46,4.23,mulheres,dois
259,Consulta Remédios,com.consultaremedios,Pharmacy & Drugstore,7503,272025,4213,3290,18448,210944,5.91,00:01:16,00:07:30,2.09,homens,dois
260,Mangos: Cashback em Mercados,br.com.priced.mangos,Coupons & Rewards,7459,576891,4381,3078,28066,197878,14.41,00:00:50,00:12:15,3.49,homens,dois
261,Weverse Shop,co.benx.weply,E-Commerce (B2C),6734,137577,4263,2471,14060,111595,6.77,00:01:17,00:08:46,2.24,mulheres,dois
262,LG For You,com.lge.widgetpusherintegration,E-Commerce (B2C),6515,444883,0,6515,55005,4527164,1.99,00:00:25,00:00:51,1.28,homens,tres
263,PERFUMIST Perfumes Advisor,com.smartsoftasia.perfume,E-Commerce (Retailer),6494,68557,4264,2230,4832,25808,5.9,00:02:36,00:15:23,1.13,mulheres,unico
267,Lazada - Online Shopping App!,com.lazada.android,E-Commerce (C2C),6117,57533,3141,2976,8960,25562,11.56,00:01:55,00:22:12,3.06,mulheres,unico
268,Tiendamia. Del mundo a tu puer,com.tiendamia.android,E-Commerce (B2C),6084,675063,3932,2152,8250,366888,5.94,00:03:05,00:18:19,2.48,homens,unico
269,Buy cell phones for cheap,com.boulla.cellphone,E-Commerce (C2C),5990,55939,3458,2532,26035,26325,4.77,00:01:07,00:05:21,1.91,mulheres,dois
273,Smart Closet - Fashion Style,com.rkk.closet,E-Commerce (Retailer),5192,66096,3012,2180,4122,16086,4.35,00:00:13,00:00:57,1.04,mulheres,unico
278,Joom. Shopping for every day,com.joom,E-Commerce (B2C),4370,1182816,541,3829,6803,112252,7.8,00:01:01,00:08:01,2.47,mulheres,unico
279,Lidl - Offers & Leaflets,de.sec.mobile,E-Commerce (Retailer),4107,31144,2429,1678,3283,25432,3.32,00:00:58,00:03:13,1.56,mulheres,unico
281,AppNana - Gift Cards,com.appnana.android.giftcardrewards,Coupons & Rewards,3395,2254559,1951,1444,5460,31392,25.78,00:00:18,00:07:47,2.03,mulheres,unico
282,Xb Deals: Track Game Prices,com.xbox_deals.sales,Coupons & Rewards,3394,24656,0,3394,23192,31730,18.39,00:01:42,00:31:30,3.02,homens,dois
285,Wanna Kicks : AR sneakers try ,by.wanna.apps.wsneakers,E-Commerce (Retailer),3157,261826,1746,1411,15383,77343,4.24,00:01:47,00:07:36,1.38,mulheres,dois
286,"G2A - Games, Gift Cards & More",com.g2a.marketplace,E-Commerce (B2C),3087,429051,1805,1282,6437,8504,7.01,00:00:23,00:02:47,1.34,homens,unico
288,Fashion Nova,co.tapcart.app.npQt0DXZpj,E-Commerce (Retailer),3021,39771,1718,1303,2985,13137,9.48,00:02:24,00:22:54,4.5,homens,unico
294,淘宝,com.taobao.taobao,E-Commerce (C2C),1763,124719,1034,729,4448,34209,7.21,00:01:52,00:13:34,1.23,homens,unico
296,Zara Home,com.inditex.ecommerce.zarahome.android,E-Commerce (Retailer),1754,73301,876,878,6762,26066,5.53,00:00:42,00:03:54,2.85,mulheres,unico
303,Newchic - Fashion Online,com.newchic.client,E-Commerce (Retailer),1143,322309,575,568,2850,35335,8.03,00:01:59,00:16:01,3.47,homens,unico
306,Bershka: Fashion & trends,com.inditex.ecommerce.bershka,E-Commerce (Retailer),932,4549,552,380,3807,10937,2.14,00:01:17,00:02:46,1.28,mulheres,unico
313,"Super Revendedores: Vendas, Es",com.superrevendedores.app,E-Commerce (C2C),563,354954,189,374,15798,55535,15.47,00:02:00,00:31:09,3.76,mulheres,dois
316,Meu Paulistão,br.com.dmcard.paulistao,E-Commerce (Retailer),453,101626,237,216,12111,61746,6.09,00:00:45,00:04:38,3.2,mulheres,unico
320,Traderie,com.traderie,E-Commerce (C2C),351,3331,277,74,4321,8954,29.27,00:02:35,01:16:01,3.47,mulheres,unico
324,StockX- Access the Now,com.stockx.stockx,E-Commerce (C2C),248,26245,158,90,3246,24783,9.39,00:00:17,00:02:47,2.7,homens,unico
325,Lista de Compras - List,br.com.up.list,Other Shopping,242,8161,97,145,19675,19963,7.63,00:03:06,00:23:42,1.2,mulheres,dois
327,Babba - Baby Cry Translator,com.deeply.babba,Resell,226,3087,0,226,3761,6268,6.66,00:00:50,00:05:38,1.92,mulheres,unico
334,Food List Tracking & Shopping,com.chestersw.foodlist,Other Shopping,121,121,0,121,2620,18293,5.62,00:01:53,00:10:37,1.63,mulheres,unico
337,That Shopping List,de.markusliebschner.thatlist,Other Shopping,84,30513,0,84,17882,30466,8.15,00:01:22,00:11:10,1.65,mulheres,dois
338,Shopping list voice input PRO,com.tksolution.einkaufszettelmitspracheingabepro,Other Shopping,59,1906,0,59,3235,12963,10.3,00:00:34,00:05:52,3.47,mulheres,unico
339,Our Groceries Shopping List,com.headcode.ourgroceries,Other Shopping,51,5032,0,51,21275,23986,100.74,00:00:29,00:49:43,15.2,mulheres,dois
340,Louis Vuitton,com.vuitton.android,E-Commerce (Retailer),44,24488,22,22,2784,37543,3.91,00:01:46,00:06:54,1.5,mulheres,unico
341,Shopping list — Lister,com.DramaProductions.Einkaufen5,Other Shopping,20,10022,7,13,13254,13474,2.05,00:02:43,00:05:35,0.97,mulheres,unico
344,Menores Preços Dudu Rocha,com.influesolutions.influeassistant.dudurocha,E-Commerce (B2C),7,5374,3,4,3166,9052,4.17,00:00:24,00:01:41,1.98,homens,unico
