Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
35,Marisa: Moda e Comprar Roupas,br.com.marisa.android,E-Commerce (Retailer),482922,12442015,256559,226363,1741080,2383855,9.31,00:02:05,00:19:31,3.6,mulheres,Quatro
36,PatPat - Kids & Baby Clothing,com.interfocusllc.patpat,E-Commerce (Retailer),472191,1736657,120723,351468,299204,301838,5.17,00:03:53,00:20:08,1.72,mulheres,Quatro
37,Petz: Pet shop Online,br.com.petz,E-Commerce (B2C),465386,6649617,240942,224444,1585552,3218831,7.01,00:01:27,00:10:11,2.35,mulheres,Quatro
38,Méliuz: Cashback e Cartão,br.com.meliuz,Coupons & Rewards,441550,12602132,139883,301667,3284272,5326207,13.29,00:01:15,00:16:42,4.67,homens,Quatro
39,Tok&Stok: Móveis e Decoração,com.tokstok.app,E-Commerce (Retailer),419879,2739521,135706,284173,190974,714589,5.14,00:02:22,00:12:13,2.24,mulheres,tres
40,Urbanic - Fashion from London,com.urbanic.multis,E-Commerce (Retailer),413940,4197595,206475,207465,343183,1104637,6.88,00:02:31,00:17:20,2.44,mulheres,Quatro
41,Livelo: juntar e trocar pontos,br.com.livelo.app,Coupons & Rewards,402254,5913023,162496,239758,2061307,4262003,8.48,00:01:25,00:12:01,2.71,homens,Quatro
42,Pernambucanas,br.com.pernambucanas.varejo.android,E-Commerce (Retailer),368032,6925101,18212,349820,160552,775010,4.89,00:01:49,00:08:53,2.12,mulheres,tres
43,Loja Online Samsung,com.samsung.shop,E-Commerce (Retailer),359376,960989,133705,225671,536022,4438723,3.93,00:01:50,00:07:12,1.68,mulheres,Quatro
44,Revendedor O Boticário,br.com.grupoboticario.boticariorepresentante,E-Commerce (C2C),357271,3916058,0,357271,223389,793305,25.38,00:01:20,00:33:53,5.41,mulheres,Quatro
45,Leroy Merlin Brasil,br.com.leroymerlin,E-Commerce (B2C),337901,4628648,145994,191907,133502,1294390,5.38,00:02:12,00:11:53,2.18,homens,tres
46,adidas,com.adidas.app,E-Commerce (Retailer),332071,3172696,170346,161725,132345,840888,5.98,00:01:49,00:10:56,2.81,homens,tres
47,Stix,br.com.soustix.app,Coupons & Rewards,327268,1504248,122439,204829,145054,1192754,4.92,00:00:50,00:04:08,1.9,mulheres,tres
49,"Dafiti: roupas, sapatos, decor",br.com.dafiti,E-Commerce (B2C),321264,27508733,80098,241166,3005423,4838305,11.15,00:01:38,00:18:20,3.25,mulheres,Quatro
50,Pão de Açúcar Mais,br.com.paodeacucarmais,Coupons & Rewards,319560,4487700,164515,155045,2506095,4032333,9.08,00:01:34,00:14:21,3.2,mulheres,Quatro
51,CrmBonus,com.br.crmbonus.app,Coupons & Rewards,291987,332582,20408,271579,146028,155483,2.94,00:00:43,00:02:07,1.65,homens,tres
52,Cuponomia: Cupons e Cashback,com.cuponomia,Coupons & Rewards,287065,1866700,79389,207676,242254,799656,11.19,00:00:29,00:05:31,3.07,mulheres,Quatro
