data-ai Intelligence
Report,Top Advertisers
Report Generation Time,01/06/2023 07:49:09 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-08-01, 2021-08-31"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Initial Release Date,Advertiser App Last Version Update,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Apps Seen In,Creatives
20600003674082,"Zoom: Compare preços, Cashback",,2014-11-10,2022-12-23,com.zoom.zoomandroid,google-play,Google Play Store,android-all,All Android Devices,20200001129144,Mosaico Negócios de Internet S.A,1000200000229760,Zoom.com.br,BR,Brazil,1000200000229760,Zoom.com.br,400053,Shopping,1000600000618583,Zoom - Ofertas e Descontos,app,App,5,77,2592
20600005048458,Natura: perfumes e cosméticos,,2015-12-02,2022-12-15,net.natura.semprepresente,google-play,Google Play Store,android-all,All Android Devices,20200003562247,Natura &Co,,,,,,,400053,Shopping,1000600000730879,Natura: Produtos de beleza,app,App,5,3,3140
20600005278591,Panvel Farmácia e Perfumaria,,2016-02-04,2023-01-03,br.com.dimed.panvel,google-play,Google Play Store,android-all,All Android Devices,20200000624943,Panvel,,,,,,,400040,Health & Fitness,1000600000731523,Panvel Farmácia e Perfumaria,app,App,5,5,30
20600006180889,Livelo: juntar e trocar pontos,,2016-09-08,2022-12-23,br.com.livelo.app,google-play,Google Play Store,android-all,All Android Devices,20200001689924,Pontos Livelo,1000200000309937,Livelo,BR,Brazil,1000200000309937,Livelo,400057,Travel & Local,1000600000666453,Livelo,app,App,5,4,18
20600006372762,Floryday - Shopping & Fashion,,2016-10-20,2021-11-25,com.floryday.fd,google-play,Google Play Store,android-all,All Android Devices,20200003004937,ZC HOLDING (HK) LIMITED,1000200000176797,ZC HOLDING,HK,Hong Kong,1000200000176797,ZC HOLDING,400053,Shopping,1000600000680557,Floryday,app,App,5,26,54
20600006537655,Beleza na Web: Cosméticos,,2016-11-22,2022-12-23,br.com.belezanaweb.android,google-play,Google Play Store,android-all,All Android Devices,20200002040066,Beleza na Web,1000200000364304,Beleza,BR,Brazil,1000200000364304,Beleza,400053,Shopping,1000600000732146,Beleza na Web,app,App,5,39,2477
20600006797267,Clube Extra,,2017-01-16,2022-12-20,br.com.clubeextra,google-play,Google Play Store,android-all,All Android Devices,20200000158993,GPA,1000200000049164,GPA,BR,Brazil,1000200000049164,GPA,400053,Shopping,1000600000603517,Clube Extra,app,App,5,5,16
20600006803903,Méliuz: Cashback e Cartão,,2017-01-18,2023-01-02,br.com.meliuz,google-play,Google Play Store,android-all,All Android Devices,20200002101472,Méliuz,1000200000235117,Méliuz,BR,Brazil,1000200000235117,Méliuz,400038,Finance,1000600000626047,Méliuz,app,App,5,5,161
20600006898349,AMARO: Comprar Moda e Beleza,,2017-02-05,2022-12-26,amaro.amaroandroid,google-play,Google Play Store,android-all,All Android Devices,20200003707165,AMARO,,,,,,,400053,Shopping,1000600000658971,AMARO,app,App,5,151,1684
20600007476773,AiHelper: Sales and Parcels,,2017-05-05,2022-12-28,com.xyz.alihelper,google-play,Google Play Store,android-all,All Android Devices,20200002242857,AliHelper,,,,,,,400053,Shopping,20600007476773,AiHelper: Sales and Parcels,app,App,5,3,164
20600007992347,adidas,,2017-09-26,2022-12-22,com.adidas.app,google-play,Google Play Store,android-all,All Android Devices,20200000195232,adidas,1000200000042127,Adidas,DE,Germany,1000200000042127,Adidas,400055,Sports,1000600000619487,adidas,app,App,5,4,39
20600008856261,Fast Shop,,2017-12-22,2022-12-09,br.com.fastshop.ecommerce.beta,google-play,Google Play Store,android-all,All Android Devices,20200002505968,Fast Shop S. A.,1000200000296649,Fast Shop,BR,Brazil,1000200000296649,Fast Shop,400053,Shopping,1000600000651128,Fast Shop,app,App,5,6,874
