App Package Name,Reviews,Reviews Content,Rating,Start Date,End Date,Review Product Version,Review Product Version Name,Language,Language Name
com.shopee.br,085af6e9-6169-42a2-9270-4de0761ebf34,Bom,5,16.07.22,16.07.22,20600012546168_2.90.12,2.90.12,pt,Portuguese
com.shopee.br,0861e93a-c369-4988-a632-ed6b374a9e2e,Nao consigo pagar com catao de credito e demora muito o tempo pra entregar,2,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0865cc86-18a3-4b47-b0b5-935799260486,Muito bom,5,10.07.22,10.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08698856-33a6-4f9a-894d-ceeada4e5786,Cupons a desejar!!! 😢,3,13.07.22,13.07.22,20600012546168_2.78.32,2.78.32,pt,Portuguese
com.shopee.br,086fd652-9206-4bcd-898c-02bd62f3598d,"App bom, mais os fretes estão caros demais, tem produto que nem compensa comprar na shopee porque o frete está o mesmo preço do produto.",2,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0878c0e7-0426-40ff-9cc5-b3b7868aa35c,Maravilha,5,11.07.22,11.07.22,20600012546168_Unknown,Unknown,pt,Portuguese
com.shopee.br,088bc95b-b3fe-465a-bd80-f9cff0bca5ec,Estou gostando muito.,5,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08956f99-6368-42d5-a2c6-cab71e4426c2,Muito ruim tô tendo problema com eles em reembolso fiquem esperto aprova reembolso mais não faz o pagamento se não fica conferindo a conta tem 2 mês que tô esperando um reembolso,1,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0898e334-1b45-4e78-a722-e4ea913b8949,Ótimo,5,13.07.22,13.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,089c6a3d-474c-4536-957d-5bbacea18129,"Estou gostando muito de realizar compras aqui, fácil, com bons preços e uma variedade enorme de itens.",5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08ae8faf-ced9-4dab-b139-b64e33912739,A SHOPEE É ÓTIMA PARA COMPRAR NO MOMENTO NÃO TENHO NENHUMA RECLAMAÇÃO SOBRE O APP ATÉ AGORA TUDO OK ESPERO QUE CONTINUEM ASSIM👍🏼,5,15.07.22,15.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
com.shopee.br,08b36798-7c2a-4eb2-8e9b-1060200edb38,Muito bom uso muito,5,14.07.22,14.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08b47aca-acee-4a15-a414-897e6c0a445c,Muito massa!,5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08b495b5-45e9-45be-ab6d-b502e97e2997,Top,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08c84c7a-ab23-4d74-9ba2-3958f113e73c,Todos os itens pedidos até o momento chegaram direitinho.,5,15.07.22,15.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
com.shopee.br,08c94525-c766-4e4e-8a38-5b4ea53598eb,Ótimo app,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08e7b305-e962-4761-b625-15f31d301a22,"Lesionado em R$ 109,00..., após reclamações no Reclame Aqui e denúncia no Procon, só recebi o silêncio e o não ressarcimento do valor. Já foi passado n° de conta pra depósito, mas ficou só nisso. Cuidado com compras em valores altos, vocês podem sofrer a mesma lesão financeira. Sem mais.",1,11.07.22,11.07.22,20600012546168_Varies with device,Varies with device,pt,Portuguese
com.shopee.br,08e88fc4-4323-4a6d-9855-be08b69232af,Uma grande loja com muitos fornecedores dentro do app,5,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,08ea4b7d-b8ca-4063-ba07-864d957aaff8,Amo Comprar Na Shopee nunca Tive problemas Com o app 😘,5,15.07.22,15.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
