,App Package Name,Reviews Content,Rating,Ranking,review_processed
17100,com.shopee.br,"Eu gostava da shopee, porém ela começou apoiar vendedores desonestos, por esse motivo vou dar uma estrela, que é muito por uma empresa desonesta que não protege seus clientes. :(",1,Second,"eu gostava shopee, porém começ apoiar vendedor desonestos, motivo vou dar estrela, empresa desonesta proteg clientes. :("
17101,com.shopee.br,Otima,5,Second,otima
17102,com.shopee.br,Muito bommm,5,Second,muito bommm
17103,com.shopee.br,Ótimo APP,5,Second,ótimo app
17104,com.shopee.br,Trava muito mas é bom,4,Second,trava bom
17105,com.shopee.br,"Ótimo app, preço ótimos, o melhor app de compras.",5,Second,"ótimo app, preço ótimos, melhor app compras."
17106,com.shopee.br,Ótimo,5,Second,ótimo
17107,com.shopee.br,"Atualizei o app ontem e agora ele tá bugado, não aparece minhas compras, tenho vários produtos no carrinho e não consigo efetuar a compra, nem meus favoritos aparecem. travando mt, só cm paciência pr continuar.",2,Second,"atualizei app ontem agora tá bugado, aparec compras, vário produto carrinho consigo efetuar compra, favorito aparecem. travando mt, cm paciência pr continuar."
17108,com.shopee.br,"Melhor loja virtual pra comprar, sem comparação! Agora no caso do aplicativo, percebi que ele salvo muitos arquivos no cash, o que faz com que ele comece a travar com pouco tempo de uso, até não funcionar mais. Isso pode levar a perda de clientes que não sabem que o problema é resolvido ao limpar o cash.",4,Second,"melhor loja virtual pra comprar, comparação! agora caso aplicativo, percebi salvo muito arquivo cash, faz comec travar pouco tempo uso, funcionar mais. isso pode levar perda client sabem problema resolvido limpar cash."
17109,com.shopee.br,"Estou gostando muito de comprar na shopee, vale a pena custo e beneficio",5,Second,"estou gostando comprar shopee, vale pena custo beneficio"
17110,com.shopee.br,Não tenho experiência E a primeira vez que estou tentando fazer uma compra.otima pelo que tenho ouvido falar.,5,Second,não experiência e primeira vez tentando fazer compra.otima ouvido falar.
17111,com.shopee.br,"De todas as compras que fiz ate agora so duas encomendas que teve um emprevisto,fora isso tudo ok.",5,Second,"de toda compra fiz ate agora so dua encomenda emprevisto,fora tudo ok."
17112,com.shopee.br,Aplicativo muito bom,4,Second,aplicativo bom
17113,com.shopee.br,Meu cartão que lute 😜,5,Second,meu cartão lute 😜
17114,com.shopee.br,Tá sendo maravilhoso,4,Second,tá sendo maravilhoso
17115,com.shopee.br,O melhor app que eu ja instalei,5,Second,o melhor app ja instalei
17116,com.shopee.br,Ótimo,5,Second,ótimo
17117,com.shopee.br,Ótimo app,5,Second,ótimo app
17118,com.shopee.br,Não consigo comprar não consigo carregar as coisas na shopee parece que está fora do ar,5,Second,não consigo comprar consigo carregar coisa shope parec ar
17119,com.shopee.br,Lixo,1,Second,lixo
17120,com.shopee.br,"É a minha primeira experiência. estou decepcionada. Fiz duas compras, a primeira foi cancelada pela Snipes, depois de vários dias aguardando a mercadoria chegar e o outro pedido, estou aguardando a quase 1 mês, ( ja passou da data estipulada pela Shopee), e ja me sinto enganada e desrespeitada como consumidora, pela segunda vez!!!! Gostaria de uma resposta urgente desta empresa!!!",1,Second,"é primeira experiência. decepcionada. fiz dua compras, primeira cancelada snipes, vário dia aguardando mercadoria chegar outro pedido, aguardando quas 1 mês, ( ja passou data estipulada shopee), ja sinto enganada desrespeitada consumidora, segunda vez!!!! gostaria resposta urgent desta empresa!!!"
17121,com.shopee.br,Otima opção de comodidade e variedade sem falar da economia e segurança ...,5,Second,otima opção comodidad variedad falar economia segurança ...
17122,com.shopee.br,Não estou conseguindo aplicar o cupom e concluir a compra. Só dá erro. Já tentei em duas lojas.,4,Second,não conseguindo aplicar cupom concluir compra. só dá erro. já tentei dua lojas.
