Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Sep 22,17,Shoptime: Compras online,com.b2w.shoptime,5,20,4640,425687,953538.88,92800
Jul 22,21,Centauro: loja de esportes,br.com.sbf.centauro,4,2,2979,395842,886686.08,5958
Aug 22,21,Centauro: loja de esportes,br.com.sbf.centauro,4,2,3304,395842,886686.08,6608
Sep 22,21,Centauro: loja de esportes,br.com.sbf.centauro,5,3,2852,395842,886686.08,8556
Jul 22,22,Riachuelo – Compre pelo app,br.com.riachuelo.app,4,458,5753,348921,781583.04,2634874
Aug 22,22,Riachuelo – Compre pelo app,br.com.riachuelo.app,4,115,3969,348921,781583.04,456435
Sep 22,22,Riachuelo – Compre pelo app,br.com.riachuelo.app,5,216,3635,348921,781583.04,785160
Jul 22,24,Drogasil: Drogaria Online 24h,br.com.drogasil,1,1,1,317581,711381.44,1
Aug 22,24,Drogasil: Drogaria Online 24h,br.com.drogasil,1,1,1,317581,711381.44,1
Sep 22,24,Drogasil: Drogaria Online 24h,br.com.drogasil,2,2,5,317581,711381.44,10
Jul 22,23,Wish: Shop And Save,com.contextlogic.wish,7,1676,11721,313465,702161.6,19644396
Aug 22,23,Wish: Shop And Save,com.contextlogic.wish,5,1957,3596,313465,702161.6,7037372
Sep 22,23,Wish: Shop And Save,com.contextlogic.wish,6,1338,1794,313465,702161.6,2400372
Sep 22,29,Cobasi,com.root.cobasi.Activities,1,1,1,309501,693282.24,1
Jul 22,30,Submarino: Compras Online,com.b2w.submarino,7,123,6252,303801,680514.24,768996
Aug 22,30,Submarino: Compras Online,com.b2w.submarino,7,69,5802,303801,680514.24,400338
Sep 22,30,Submarino: Compras Online,com.b2w.submarino,7,63,5734,303801,680514.24,361242
Jul 22,28,Droga Raia - Farmácia 24 horas,br.com.drogaraia,4,2,11,301049,674349.76,22
Aug 22,28,Droga Raia - Farmácia 24 horas,br.com.drogaraia,3,3,3,301049,674349.76,9
Sep 22,28,Droga Raia - Farmácia 24 horas,br.com.drogaraia,2,2,5,301049,674349.76,10
Jul 22,33,"Loja C&A: Roupas, Sapatos e +",br.com.cea.appb2c,5,146,6749,269321,603279.04,985354
