Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Jul 22,217,Westwing - Casa e Decoração,br.westwing.android,2,2,3,9809,21972.16,6
Jul 22,238,ROMWE - Ultimate Cyber Mall,com.romwe,2,5,2,7787,17442.88,10
Aug 22,238,ROMWE - Ultimate Cyber Mall,com.romwe,1,35,23,7787,17442.88,805
Sep 22,238,ROMWE - Ultimate Cyber Mall,com.romwe,1,1,2,7787,17442.88,2
Jul 22,240,Droper Sneakers & Streetwear,com.s9.cataloko,1,1,2,7377,16524.48,2
Aug 22,240,Droper Sneakers & Streetwear,com.s9.cataloko,1,1,11,7377,16524.48,11
Sep 22,240,Droper Sneakers & Streetwear,com.s9.cataloko,1,1,2,7377,16524.48,2
Jul 22,76,Privalia: Maior Outlet Online,com.privalia.br,6,6,534,7150,16016,3204
Aug 22,76,Privalia: Maior Outlet Online,com.privalia.br,4,2,184,7150,16016,368
Sep 22,76,Privalia: Maior Outlet Online,com.privalia.br,4,2,139,7150,16016,278
Jul 22,244,OMO Lavanderia,br.com.taqtile.omolavanderia,2,2,16,6912,15482.88,32
Aug 22,244,OMO Lavanderia,br.com.taqtile.omolavanderia,2,2,17,6912,15482.88,34
Sep 22,244,OMO Lavanderia,br.com.taqtile.omolavanderia,2,2,47,6912,15482.88,94
Jul 22,195,B4Waste,b4waste.alphacode.com.br,2,2,3,6361,14248.64,6
Aug 22,195,B4Waste,b4waste.alphacode.com.br,2,2,2,6361,14248.64,4
Sep 22,195,B4Waste,b4waste.alphacode.com.br,2,2,3,6361,14248.64,6
Jul 22,184,echope,br.com.echope,1,1,1,5076,11370.24,1
Jul 22,260,Mangos: Cashback em Mercados,br.com.priced.mangos,1,1,3,4381,9813.44,3
Aug 22,260,Mangos: Cashback em Mercados,br.com.priced.mangos,2,2,18,4381,9813.44,36
Aug 22,268,Tiendamia. Del mundo a tu puer,com.tiendamia.android,1,3,1,3932,8807.68,3
Jul 22,269,Buy cell phones for cheap,com.boulla.cellphone,1,1,2,3458,7745.92,2
Aug 22,269,Buy cell phones for cheap,com.boulla.cellphone,1,1,4,3458,7745.92,4
Sep 22,269,Buy cell phones for cheap,com.boulla.cellphone,1,1,2,3458,7745.92,2
Jul 22,267,Lazada - Online Shopping App!,com.lazada.android,1,34,6,3141,7035.84,204
Aug 22,267,Lazada - Online Shopping App!,com.lazada.android,1,43,6,3141,7035.84,258
Sep 22,267,Lazada - Online Shopping App!,com.lazada.android,1,29,6,3141,7035.84,174
Jul 22,271,ZAFUL - My Fashion Story,com.zaful,1,1,2,3080,6899.2,2
Jul 22,257,My Easy Shopping List,com.edujoy.shopping.list,1,1,1,3037,6802.88,1
Sep 22,256,Animale - Moda Feminina,br.com.animale,1,1,4,2327,5212.48,4
Jul 22,285,Wanna Kicks : AR sneakers try ,by.wanna.apps.wsneakers,2,2,8,1746,3911.04,16
Aug 22,285,Wanna Kicks : AR sneakers try ,by.wanna.apps.wsneakers,2,2,8,1746,3911.04,16
Sep 22,285,Wanna Kicks : AR sneakers try ,by.wanna.apps.wsneakers,2,2,8,1746,3911.04,16
Jul 22,99,Novo Mundo,com.kobe.novoMundo,4,2,4,1331,2981.44,8
Aug 22,99,Novo Mundo,com.kobe.novoMundo,5,8,7,1331,2981.44,56
Sep 22,219,C&C Casa e Construção,br.com.cec,1,1,1,1069,2394.56,1
Jul 22,303,Newchic - Fashion Online,com.newchic.client,3,2,17,575,1288,34
Aug 22,303,Newchic - Fashion Online,com.newchic.client,4,2,42,575,1288,84
Sep 22,303,Newchic - Fashion Online,com.newchic.client,2,2,8,575,1288,16
Jul 22,278,Joom. Shopping for every day,com.joom,6,41,850,541,1211.84,34850
Aug 22,278,Joom. Shopping for every day,com.joom,3,81,7,541,1211.84,567
Sep 22,278,Joom. Shopping for every day,com.joom,3,32,6,541,1211.84,192
Jul 22,313,"Super Revendedores: Vendas, Es",com.superrevendedores.app,1,1,6,189,423.36,6
Aug 22,313,"Super Revendedores: Vendas, Es",com.superrevendedores.app,1,1,8,189,423.36,8
Sep 22,313,"Super Revendedores: Vendas, Es",com.superrevendedores.app,1,1,6,189,423.36,6
Jul 22,150,Gelt: Ganar dinero desde casa,com.mdfactory.gelt,3,7,18,132,295.68,126
Aug 22,150,Gelt: Ganar dinero desde casa,com.mdfactory.gelt,4,10,37,132,295.68,370
Sep 22,150,Gelt: Ganar dinero desde casa,com.mdfactory.gelt,4,20,36,132,295.68,720
Jul 22,44,Revendedor O Boticário,br.com.grupoboticario.boticariorepresentante,1,1,1,0,0,1
Jul 22,144,VirtusPay Boleto Parcelado,com.virtuspay.virtus_app_tomador,1,7,4,0,0,28
Aug 22,44,Revendedor O Boticário,br.com.grupoboticario.boticariorepresentante,2,2,3,0,0,6
Aug 22,116,Hering,br.com.hering,2,5,4,0,0,20
Aug 22,144,VirtusPay Boleto Parcelado,com.virtuspay.virtus_app_tomador,1,10,11,0,0,110
Sep 22,44,Revendedor O Boticário,br.com.grupoboticario.boticariorepresentante,2,2,2,0,0,4
Sep 22,144,VirtusPay Boleto Parcelado,com.virtuspay.virtus_app_tomador,2,58,18,0,0,1044
Sep 22,116,Hering,br.com.hering,1,1,1,0,0,1
