data-ai Intelligence
Report,IQ Classifications- Top Apps
Report Generation Time,01/06/2023 07:43:48 PST
Country/Region,Brazil
Date,"2022-07-01, 2022-09-30"
Device,Android Phone
Classification,"BNPL, Coupons & Rewards, E-Commerce (B2C), E-Commerce (C2C), E-Commerce (Retailer), Other Shopping, Pharmacy & Drugstore, Resell"
Granularity,Monthly
Vertical,App
Include secondary IQ classifications,False

Rank,App,App Name,App Bundle ID,App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,Genre > Classification,Genre > Classification Name,Subgenre > Classification,Subgenre > Classification Name,Classification Type,Classification Type Name,Content > Tag,Content > Tag Name,FTUE > Tag,FTUE > Tag Name,Feature - Finance > Tag,Feature - Finance > Tag Name,Feature - Food & Drink > Tag,Feature - Food & Drink > Tag Name,Feature - General > Tag,Feature - General > Tag Name,Feature - Health & Fitness > Tag,Feature - Health & Fitness > Tag Name,Feature - Login > Tag,Feature - Login > Tag Name,Feature - Reporting > Tag,Feature - Reporting > Tag Name,Feature - Shopping > Tag,Feature - Shopping > Tag Name,Feature - Social > Tag,Feature - Social > Tag Name,Feature - Social Media > Tag,Feature - Social Media > Tag Name,Feature - Support > Tag,Feature - Support > Tag Name,Monetization - Advertising > Tag,Monetization - Advertising > Tag Name,Monetization - Membership > Tag,Monetization - Membership > Tag Name,Monetization - Value-added Service > Tag,Monetization - Value-added Service > Tag Name,Tag Type,Tag Type Name,Downloads,Downloads (Change Value),Cumulative Downloads,Cumulative Downloads (Change Value),Revenue,Revenue (Change Value),Cumulative Revenue,Cumulative Revenue (Change Value),RPD,RPD (Change Value),Paid Downloads,Paid Downloads (Change Value),Organic Downloads,Organic Downloads (Change Value),% Paid Downloads,% Paid Downloads (Change Value),% Organic Downloads,% Organic Downloads (Change Value),Usage Penetration,Usage Penetration (Change Value),Active Users,Active Users (Change Value),Install Penetration,Install Penetration (Change Value),Install Base,Install Base (Change Value),Open Rate,Open Rate (Change Value),Avg Sessions / User,Avg Sessions / User (Change Value),Avg Session Duration,Avg Session Duration (Change Value),Avg Time / User,Avg Time / User (Change Value),Total Time,Total Time (Change Value),Avg Active Days,Avg Active Days (Change Value),% Active Days,% Active Days (Change Value),Share of Category Time,Share of Category Time (Change Value)
63,20600003792812,Elo7: Produtos Personalizados,,br.com.elo7.appbuyer,google-play,Google Play Store,android-all,All Android Devices,20200001392864,Elo7,1000200000364803,Elo7,BR,Brazil,1000200000364803,Elo7,400053,Shopping,1000600000732493,Elo7 · Produtos Fora de Série,app,App,3013,Shopping,30130002,E-Commerce (C2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235469,19905,5074994,235469,,,,,,,136861,-14740,98608,34645,58.12%,-12.21%,41.88%,12.21%,0.33%,-0.01%,361705,-17491,1.10%,0.00%,1215128,1563,29.77%,-1.48%,10.97,-0.55,00:01:37,-00:00:23,00:17:46,-00:05:22,19285021,-7049633,3.36,-0.01,10.97%,-0.14%,,
64,20600003997070,Petlove - O app do seu pet,,br.com.petlove.petlove,google-play,Google Play Store,android-all,All Android Devices,20200003838460,Petlove IT,1000300000023855,DogHero,BR,Brazil,1000300000023855,DogHero,400053,Shopping,1000600000695981,Petlove,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235278,-19104,4917801,235278,,,,,,,125865,-19090,109413,-14,53.50%,-3.48%,46.50%,3.48%,0.39%,-0.04%,424288,-49492,1.65%,0.01%,1813842,8695,23.39%,-2.86%,7.86,-1.11,00:01:15,-00:00:02,00:09:50,-00:01:46,12516995,-3978335,2.52,0.00,8.23%,-0.09%,,
65,20600012481485,Loja do Mecânico,,br.com.gurgelmix.lojadomecanico_app,google-play,Google Play Store,android-all,All Android Devices,20200003304273,Gurgelmix,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215965,-41265,1843318,215965,,,,,,,58822,-52699,157143,11434,27.24%,-16.11%,72.76%,16.11%,0.17%,0.00%,185151,418,0.78%,-0.01%,863342,-4414,21.45%,0.16%,10.39,-0.20,00:01:39,00:00:14,00:17:12,00:02:19,9556187,1305804,3.65,0.03,11.91%,-0.02%,,
66,20600005073458,abastece-aí: cashback e mais!,,com.gigigo.ipirangaconectcar,google-play,Google Play Store,android-all,All Android Devices,20200000119264,Ipiranga Produtos de Petróleo,1000200000202284,Ipiranga,BR,Brazil,1000200000202284,Ipiranga,400028,Auto & Vehicles,1000600000665710,Abastece Aí,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212347,-28945,10095560,212347,,,,,,,0,0,212347,-28945,0.00%,0.00%,100.00%,0.00%,2.25%,-0.26%,2470404,-289483,6.14%,0.01%,6757878,22448,36.56%,-4.42%,10.02,-0.14,00:01:03,-00:00:05,00:10:35,-00:00:59,78458757,-17423442,3.41,0.00,11.12%,-0.11%,,
67,20600013184977,Representante Eudora,,br.com.eudora.apprepresentante,google-play,Google Play Store,android-all,All Android Devices,20200001504614,Grupo Boticário,1000200000365075,Grupo Boticário,BR,Brazil,1000200000365075,Grupo Boticário,400029,Beauty,1000800000028851,Representante Eudora,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197017,22846,1947082,197017,,,,,,,0,0,197017,22846,0.00%,0.00%,100.00%,0.00%,0.04%,-0.01%,44218,-5764,0.30%,0.00%,325289,913,13.59%,-1.82%,25.87,10.78,00:00:50,-00:00:42,00:21:46,-00:01:32,2888693,-608606,4.61,0.01,15.03%,-0.14%,,
68,20600011938425,Flash App Benefícios,,br.com.flashapp,google-play,Google Play Store,android-all,All Android Devices,20200003163909,Flash Pay,1000200000492322,Flash Pay,BR,Brazil,1000200000492322,Flash Pay,400038,Finance,1000600000821518,Flash App Benefícios,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196755,69076,700364,196755,,,,,,,111200,11742,85555,57334,56.52%,-21.38%,43.48%,21.38%,0.45%,0.13%,493554,140384,0.55%,-0.01%,609989,-2009,80.91%,23.20%,10.64,0.09,00:00:47,-00:00:01,00:08:20,-00:00:15,12359440,3244433,5.20,-0.01,16.96%,-0.23%,,
69,20600012236077,Polishop: Presentes de Natal,,br.com.projetopolishop.mobile,google-play,Google Play Store,android-all,All Android Devices,20200001525752,Polishop Web,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190113,7170,2258478,190113,,,,,,,101535,-922,88578,8092,53.41%,-2.59%,46.59%,2.59%,0.07%,0.00%,75784,-3874,0.50%,0.01%,544663,1950,13.91%,-0.77%,3.30,-1.15,00:01:34,00:00:06,00:05:11,-00:01:20,1181582,-379351,1.95,-0.01,6.37%,-0.08%,,
70,20600008856261,Fast Shop,,br.com.fastshop.ecommerce.beta,google-play,Google Play Store,android-all,All Android Devices,20200002505968,Fast Shop S. A.,1000200000296649,Fast Shop,BR,Brazil,1000200000296649,Fast Shop,400053,Shopping,1000600000651128,Fast Shop,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181399,3215,4061847,181399,,,,,,,103898,8357,77501,-5142,57.28%,3.66%,42.72%,-3.66%,0.15%,-0.01%,163864,-11011,1.60%,0.01%,1761142,17917,9.30%,-0.73%,3.78,-2.30,00:01:52,00:00:39,00:07:04,-00:00:18,3478148,-399254,2.54,0.00,8.27%,-0.09%,,
71,20600014864288,TapTon (extensão do Ton),,app.openmpos.stone.tapton,google-play,Google Play Store,android-all,All Android Devices,20200003434726,TON S/A,1000200000492316,Ton,NL,Netherlands,1000200000492316,Ton,400038,Finance,,,app,App,3013,Shopping,30130004,Resell,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176426,137051,261941,176426,,,,,,,113102,98638,63324,38413,64.11%,27.38%,35.89%,-27.38%,0.04%,0.03%,40702,29940,0.11%,0.00%,117407,-1039,34.67%,25.58%,9.16,4.36,00:00:13,-00:00:30,00:02:00,-00:01:28,245117,132714,1.81,-0.01,5.92%,-0.06%,,
72,20600004830869,Promobit: Promoções e Cupons,,br.com.promobit.app,google-play,Google Play Store,android-all,All Android Devices,20200001505702,Promobit,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174888,89188,1938171,174888,,,,,,,74402,26794,100486,62394,42.54%,-13.01%,57.46%,13.01%,0.48%,0.13%,525769,137265,1.41%,0.00%,1545887,-4423,34.01%,8.95%,36.71,8.75,00:00:56,-00:00:25,00:34:48,-00:03:42,54911988,10021938,8.08,-0.03,26.33%,-0.41%,,
73,20600005338058,Singu - Delivery de beleza e b,,br.com.singu,google-play,Google Play Store,android-all,All Android Devices,20200002802170,Singu Serviços de Beleza e Tecnologia SA,,,,,,,400029,Beauty,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174717,61194,855322,174717,,,,,,,53337,24855,121380,36339,30.53%,5.44%,69.47%,-5.44%,0.02%,-0.01%,25643,-6939,0.06%,-0.04%,67978,-45823,37.72%,9.09%,2.18,0.23,00:00:52,-00:00:45,00:01:53,-00:01:17,145478,-166344,1.11,0.00,3.61%,-0.03%,,
74,20600011777109,Camicado,,br.com.camicado.mobile,google-play,Google Play Store,android-all,All Android Devices,20200003123151,Camicado,,,,,,,400053,Shopping,1000600000731591,Camicado,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171405,94931,905412,171405,,,,,,,107319,58545,64086,36386,62.61%,-1.17%,37.39%,1.17%,0.13%,0.06%,138852,64288,0.30%,0.00%,329767,2380,42.11%,19.33%,6.92,-3.09,00:01:57,00:00:34,00:13:30,-00:00:18,5629103,2537209,3.17,0.00,10.34%,-0.12%,,
75,20600000514126,Zara,,com.inditex.zara,google-play,Google Play Store,android-all,All Android Devices,20200000154177,Inditex,1000200000020429,Inditex,ES,Spain,1000200000020429,Inditex,400053,Shopping,1000600000436981,ZARA,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,"1080020, 1080025, 1080021, 1080026, 1080009","Login, Settings, Browse Content, Check Out, Notification Settings",6004012,QR Code Payment,,,"6003012, 6003023, 6003019, 6003075, 6003032, 6003028, 6003024, 6003017, 6003008, 6003031","Location Finder, Popular Recommendation, Voice Interactions, QR Code, Voice Search, Purchase Gift Card, Relative Recommendation, Any Recommendation, Favorite, Image Search",,,6005006,Internal Login,,,"6014010, 6014012, 6014021, 6014001, 6014016, 6014019, 6014015, 6014017","Curated Shopping Content, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Primary Content Type - Clothing and Accessories, Scan Barcode, In Store Pick up, Frequently Bought Together, Availability in Physical Store, Parcel Locker Pick up","6007005, 6007007, 6007002","Invite Friend, Share, External Share","6017063, 6017064","Multi-Platform Support, Web Version","6008006, 6008005, 6008001, 6008002","Phone Support, FAQs/Knowledge Base, Any Customer Service, AI Chat bot",,,,,,,"400013, 5003001, 5008001, 5003001, 5003001, 5005001, 400013, 5018001, 5008001, 400013, 5008001, 5003001, 5014001, 400013, 5014001, 5003001, 5014001, 5003001, 5014001, 5018001, 5014001, 5004001, 400013, 5003001, 5008001, 5007001, 5003001, 5014001, 5003001, 5014001, 5007001, 5003001, 5007001, 5014001","FTUE, Feature - General, Feature - Support, Feature - General, Feature - General, Feature - Login, FTUE, Feature - Social Media, Feature - Support, FTUE, Feature - Support, Feature - General, Feature - Shopping, FTUE, Feature - Shopping, Feature - General, Feature - Shopping, Feature - General, Feature - Shopping, Feature - Social Media, Feature - Shopping, Feature - Finance, FTUE, Feature - General, Feature - Support, Feature - Social, Feature - General, Feature - Shopping, Feature - General, Feature - Shopping, Feature - Social, Feature - General, Feature - Social, Feature - Shopping",163302,10158,1640607,163302,,,,,,,2709,-69431,160593,79589,1.66%,-45.45%,98.34%,45.45%,0.09%,0.00%,97602,1360,0.21%,0.00%,229432,2368,42.54%,0.15%,4.69,-4.79,00:03:04,00:01:32,00:14:23,-00:00:04,4213128,37794,2.40,0.02,7.81%,-0.04%,,
76,20600013154812,Privalia: Maior Outlet Online,,com.privalia.br,google-play,Google Play Store,android-all,All Android Devices,20200003488373,Privalia Brasil,1000200000047217,Privalia,ES,Spain,1000200000042925,Vente-Privee,400053,Shopping,1000600000788644,Privalia BR,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163060,-43547,3986385,163060,,,,,,,7150,-28050,155910,-15497,4.38%,-12.66%,95.62%,12.66%,0.32%,-0.12%,348290,-139247,1.64%,0.00%,1803794,4199,19.31%,-7.78%,18.51,1.76,00:02:49,00:00:06,00:52:09,00:06:41,54498181,-11989305,5.10,0.00,16.62%,-0.19%,,
77,20600012131643,Multi: Descontos nos Shoppings,,br.com.multiplan.mind.multishopping,google-play,Google Play Store,android-all,All Android Devices,20200002723335,Aplicações Multiplan,1000200000485858,Multiplan,US,United States,1000200000485858,Multiplan,400053,Shopping,1000600000812208,Multi: Lojas e Shopping Online,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162729,-35916,1241744,162729,,,,,,,56175,5157,106554,-41073,34.52%,8.84%,65.48%,-8.84%,0.11%,0.01%,121043,15908,0.88%,0.00%,971716,1455,12.46%,1.62%,4.96,-0.39,00:01:35,00:00:26,00:07:56,00:01:46,2882405,939733,1.88,-0.01,6.13%,-0.09%,,
78,20600010899626,Le biscuit: Comprar online,,br.com.lebiscuit,google-play,Google Play Store,android-all,All Android Devices,20200002916342,Lojas Le biscuit S/A,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161533,24312,1578443,161533,,,,,,,96587,5166,64946,19146,59.79%,-6.83%,40.21%,6.83%,0.03%,0.00%,35492,4362,0.22%,0.00%,243270,-24,14.59%,1.79%,6.82,0.43,00:02:12,-00:00:25,00:15:02,-00:01:47,1600946,29590,2.64,0.02,8.60%,-0.05%,,
79,20600016058327,Zapay: IPVA e Licenciamento,,br.com.usezapay.app,google-play,Google Play Store,android-all,All Android Devices,20200002579280,Zapay Pagamentos,,,,,,,400028,Auto & Vehicles,,,app,App,3013,Shopping,30130007,BNPL,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152185,-5871,475060,152185,,,,,,,11890,-40612,140295,34741,7.81%,-25.41%,92.19%,25.41%,0.03%,0.01%,28141,5053,0.10%,0.00%,105678,22,26.63%,4.78%,9.82,6.35,00:01:06,-00:01:50,00:10:54,00:00:40,921557,212244,1.88,0.01,6.13%,-0.05%,,
80,20600015057404,FARM,,br.com.farmrio.app,google-play,Google Play Store,android-all,All Android Devices,20200003896205,Grupo SOMA,1000200000057348,Grupo SOMA,BR,Brazil,1000200000057348,Grupo SOMA,400053,Shopping,1000600000809386,FARM by Grupo SOMA,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151999,107459,321874,151999,,,,,,,52795,52795,99204,54664,34.73%,34.73%,65.27%,-34.73%,0.05%,0.03%,55689,36466,0.07%,0.01%,80506,9155,69.17%,42.23%,11.50,0.77,00:01:14,-00:00:11,00:14:13,-00:01:02,2375632,1495325,3.32,-0.04,10.82%,-0.26%,,
81,20600009657658,KaBuM! Compre Online,,br.com.kabum.webviewapp,google-play,Google Play Store,android-all,All Android Devices,20200002654959,KaBuM!,1000200000364350,KaBuM,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000801773,"KaBuM! Ofertas Hardware, Gamer",app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151208,11955,2620309,151208,,,,,,,88805,-13471,62403,25426,58.73%,-14.72%,41.27%,14.72%,0.58%,-0.07%,634226,-76513,2.68%,0.02%,2949661,27944,21.50%,-2.83%,14.17,0.74,00:01:01,-00:00:11,00:14:29,-00:01:45,27567111,-7064339,4.13,0.01,13.48%,-0.09%,,
82,20600006838544,Farmácias APP: Drogaria online,,com.pharmacysa.farmaciasapp,google-play,Google Play Store,android-all,All Android Devices,20200002108899,Pharmacy SA,1000200000498176,Pharmacy SA,BR,Brazil,1000200000498176,Pharmacy SA,400046,Medical,1000600000833621,Farmácias APP,app,App,3013,Shopping,30130009,Pharmacy & Drugstore,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145085,-20253,839619,145085,,,,,,,65912,-4675,79173,-15578,45.43%,2.74%,54.57%,-2.74%,0.06%,0.01%,68732,9361,0.15%,0.00%,166053,405,41.39%,5.55%,4.27,-0.57,00:02:36,00:00:57,00:11:06,00:03:12,2291998,883102,1.58,0.00,5.14%,-0.06%,,
83,20600013377843,Catálogos Hiroshima - HiroApp,,com.hiro.hiroapp.hiroshimasd,google-play,Google Play Store,android-all,All Android Devices,20200003551155,Catálogos Hiroshima,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130008,Other Shopping,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142499,7227,863922,142499,,,,,,,73707,-21580,68792,28807,51.72%,-18.72%,48.28%,18.72%,0.02%,0.00%,18712,1026,0.11%,0.00%,118662,-799,15.77%,0.97%,11.53,2.03,00:01:45,-00:00:05,00:20:13,00:02:40,1135391,203929,2.26,0.00,7.38%,-0.08%,,
84,20600013905219,Seasonal color analysis,,com.standysoftware.colorstyle,google-play,Google Play Store,android-all,All Android Devices,20200003710594,Standy Soft,,,,,,,400029,Beauty,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141504,110250,204856,141504,3509,1536,7851,3509,0.04,-0.03,0,0,141504,110250,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
85,20600006509138,SCHUTZ,,br.com.arezzo.schutz,google-play,Google Play Store,android-all,All Android Devices,20200003084514,Arezzo,1000200000364805,Arezzo,BR,Brazil,1000200000364805,Arezzo,400053,Shopping,1000600000732789,Schutz,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139112,-65294,1535295,139112,,,,,,,57184,-53630,81928,-11664,41.11%,-13.10%,58.89%,13.10%,0.04%,-0.01%,47316,-6110,0.19%,0.00%,206962,-624,22.86%,-2.88%,5.49,0.52,00:01:12,-00:00:24,00:06:39,-00:01:23,945003,-344123,2.10,0.00,6.86%,-0.05%,,
86,20600010365137,Tenda Atacado,,com.root.tendadrive.Activities,google-play,Google Play Store,android-all,All Android Devices,20200002671328,Tenda Atacado,1000200000271025,Tenda Atacado,BR,Brazil,1000200000271025,Tenda Atacado,400053,Shopping,,,app,App,3013,Shopping,30130008,Other Shopping,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136668,41291,1087514,136668,,,,,,,37923,14289,98745,27002,27.75%,2.97%,72.25%,-2.97%,0.02%,0.00%,22349,-2870,0.25%,0.02%,277868,23521,8.04%,-1.88%,6.41,1.58,00:02:19,-00:02:28,00:14:54,-00:08:13,999662,-750257,2.25,0.00,7.33%,-0.07%,,
87,20600012537024,Lojas Torra - Compre online,,br.com.app.torra,google-play,Google Play Store,android-all,All Android Devices,20200003317048,Lojas Torra,1000300000024571,Lojas Torra,BR,Brazil,1000300000024571,Lojas Torra,400053,Shopping,1000800000142009,Lojas Torra,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136628,-6221,1390966,136628,,,,,,,47428,-17184,89200,10963,34.71%,-10.52%,65.29%,10.52%,0.07%,0.00%,72489,-1703,0.38%,0.00%,416033,2749,17.42%,-0.53%,5.92,-0.53,00:01:32,-00:00:37,00:09:05,-00:04:47,1975386,-1113669,2.74,-0.01,8.93%,-0.13%,,
88,20600011738190,Drogaria São Paulo,,br.com.app.meuvivasaude.descontos,google-play,Google Play Store,android-all,All Android Devices,20200003113730,DPSP Labs,1000200000252353,DPSP,BR,Brazil,1000200000252353,DPSP,400040,Health & Fitness,1000600000730717,Drogaria São Paulo,app,App,3013,Shopping,30130009,Pharmacy & Drugstore,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133040,13146,1939502,133040,,,,,,,0,0,133040,13146,0.00%,0.00%,100.00%,0.00%,0.30%,0.01%,325169,7622,1.22%,0.01%,1342250,7141,24.23%,0.45%,7.80,-0.34,00:01:15,-00:00:03,00:09:48,-00:00:53,9563465,-619562,2.37,-0.01,7.74%,-0.09%,,
89,20600006797267,Clube Extra,,br.com.clubeextra,google-play,Google Play Store,android-all,All Android Devices,20200000158993,GPA,1000200000049164,GPA,BR,Brazil,1000200000049164,GPA,400053,Shopping,1000600000603517,Clube Extra,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128731,27805,9535171,128731,,,,,,,66366,35247,62365,-7442,51.55%,20.72%,48.45%,-20.72%,0.34%,-0.01%,376388,-11049,4.05%,0.00%,4452972,-3353,8.45%,-0.24%,8.39,1.26,00:01:27,-00:00:14,00:12:17,00:00:09,13881023,-230909,2.81,0.00,9.15%,-0.13%,,
90,20600005278591,Panvel Farmácia e Perfumaria,,br.com.dimed.panvel,google-play,Google Play Store,android-all,All Android Devices,20200000624943,Panvel,,,,,,,400040,Health & Fitness,1000600000731523,Panvel Farmácia e Perfumaria,app,App,3013,Shopping,30130009,Pharmacy & Drugstore,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128126,17206,1494422,128126,,,,,,,67584,4907,60542,12299,52.75%,-3.76%,47.25%,3.76%,0.12%,0.00%,134285,-3030,0.66%,-0.01%,731183,-3087,18.37%,-0.33%,12.70,-1.57,00:01:11,00:00:15,00:15:08,00:01:53,6100643,641311,3.01,0.00,9.80%,-0.11%,,
91,20600013518868,Farmácias São João - Delivery,,br.com.saojoaofarmacias.app,google-play,Google Play Store,android-all,All Android Devices,20200002653990,Farmácias São João,,,,,,,400040,Health & Fitness,,,app,App,3013,Shopping,30130009,Pharmacy & Drugstore,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125296,14987,588069,125296,,,,,,,73396,-10699,51900,25686,58.58%,-17.66%,41.42%,17.66%,0.05%,0.01%,52226,3490,0.18%,0.00%,200833,-1411,26.00%,1.90%,6.98,-0.79,00:00:57,00:00:29,00:06:43,00:03:01,1054366,512018,2.12,-0.04,6.92%,-0.20%,,
92,20600003678840,Banggood - Online Shopping,,com.banggood.client,google-play,Google Play Store,android-all,All Android Devices,20200002263698,Banggood,1000200000184483,Banggood,CN,China,1000200000184483,Banggood,400053,Shopping,1000600000611972,Banggood,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125030,-24742,8182236,125030,,,,,,,65106,-15277,59924,-9465,52.07%,-1.60%,47.93%,1.60%,0.23%,-0.06%,248551,-66421,3.11%,0.00%,3416526,1326,7.27%,-1.95%,7.88,0.16,00:01:55,00:00:25,00:15:12,00:03:35,11339605,360003,3.12,0.00,10.18%,-0.11%,,
93,20600011982315,hibobi-Kids Fashion Online,,com.hibobi.store,google-play,Google Play Store,android-all,All Android Devices,20200003210673,HIBOBI TECHNOLOGY LIMITED,1000200000484529,HIBOBI TECHNOLOGY LIMITED,CN,China,1000200000484529,HIBOBI TECHNOLOGY LIMITED,400053,Shopping,1000600000809993,hibobi-enrich baby's childhood,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119133,102395,407996,119133,,,,,,,35774,35007,83359,67388,30.03%,25.45%,69.97%,-25.45%,0.05%,0.03%,54574,29127,0.06%,0.02%,61385,14537,88.90%,34.58%,13.48,-24.36,00:03:02,00:02:09,00:41:01,00:07:14,6716968,4138212,2.97,0.00,9.67%,-0.12%,,
94,20600016712252,Clube Novo,,com.clubenovo.izio,google-play,Google Play Store,android-all,All Android Devices,20200002923690,Izio,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116083,101084,131082,116083,,,,,,,0,0,116083,101084,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
95,20600015961511,Kopenhagen: Chocolates e Cafés,,br.com.kopenhagen,google-play,Google Play Store,android-all,All Android Devices,20200004312264,Grupo CRM,1000200000072041,Grupo CRM,,,1000200000072041,Grupo CRM,400039,Food & Drink,1000600000843928,Kopenhagen: Chocolates e Cafés,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101098,-5720,287099,101098,,,,,,,21035,3771,80063,-9491,20.81%,4.65%,79.19%,-4.65%,0.07%,0.02%,73451,20955,0.13%,0.01%,143260,13928,51.27%,10.68%,6.32,1.29,00:01:22,-00:00:22,00:08:40,-00:00:05,1909785,530836,2.60,0.00,8.49%,-0.07%,,
96,20600003248313,Tricae - Loja Online de Roupas,,br.com.tricae,google-play,Google Play Store,android-all,All Android Devices,20200002090655,GFG Comércio Digital,1000200000039028,DAFITI,BR,Brazil,1000200000039028,DAFITI,400053,Shopping,1000600000733466,Tricae,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98644,-6117,5383753,98644,,,,,,,55303,-16171,43341,10054,56.06%,-12.17%,43.94%,12.17%,0.04%,-0.01%,40459,-14844,0.37%,0.00%,406460,-958,9.95%,-3.62%,15.82,5.23,00:01:51,-00:01:01,00:29:17,-00:01:13,3555581,-1506609,3.00,0.01,9.77%,-0.10%,,
