data-ai Intelligence
Report,Single table report
Report Generation Time,01/06/2023 07:50:29 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-09-01, 2021-09-30"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Icon Url,Advertiser App Status,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Ad Platforms (Change Value),# Apps Seen In,# Apps Seen In (Change Value),Creatives,Creatives (Change Value)
20600000091125,"Buscapé: Menor preço, Cashback",,https://static-s.aa-cdn.net/img/gp/20600000091125/ZLxmZZh5GZoyE5KKRAGSvtlvt7-rpxn5c9fjzSDRNsWSivw9oBe3QNIA0rqk3zDCagE_w80,1,br.com.buscape.MainPack,google-play,Google Play Store,android-all,All Android Devices,20200001129144,Mosaico Negócios de Internet S.A,1000200000229760,Zoom.com.br,BR,Brazil,1000200000229760,Zoom.com.br,400053,Shopping,1000600000447241,Buscapé,app,App,6,0,41,-18,3864,-71
20600000401168,Wish: Shop And Save,,https://static-s.aa-cdn.net/img/gp/20600000401168/Vh9dO5naPt9WS_5lH0ZEGYM6YqzgmOax-bLkA-nZLfT_Zun6wC04jkLBfa9gH5iKpyA_w80,1,com.contextlogic.wish,google-play,Google Play Store,android-all,All Android Devices,20200000038318,Wish Inc.,1000200000021039,ContextLogic,US,United States,1000200000021039,ContextLogic,400053,Shopping,1000600000002746,Wish,app,App,6,1,1338,-619,1794,-1802
20600000509308,Lojas Renner - Comprar Roupas,,https://static-s.aa-cdn.net/img/gp/20600000509308/prJ4djQD0z52lSy5lf5qF6HQ-3afgaSy3_Pl1X8hGdapb8lTlTuBgEncgga-NN9rxw_w80,1,br.com.lojasrenner,google-play,Google Play Store,android-all,All Android Devices,20200000012678,Lojas Renner,1000200000243518,Lojas Renner,BR,Brazil,1000200000243518,Lojas Renner,400053,Shopping,1000600000625483,Lojas Renner,app,App,6,-1,67,32,10073,1020
20600001426277,"Dafiti: roupas, sapatos, decor",,https://static-s.aa-cdn.net/img/gp/20600001426277/oKJmywken2GtkjM8DxpgfbWmdsv83a0FA7whzBBYtwjSmJcfdqozaekOva8VUwyYOt5V_w80,1,br.com.dafiti,google-play,Google Play Store,android-all,All Android Devices,20200002090655,GFG Comércio Digital,1000200000039028,DAFITI,BR,Brazil,1000200000039028,DAFITI,400053,Shopping,1000600000438605,DAFITI,app,App,6,3,18,-11,3510,-1281
20600001436537,OLX - Venda e Compra Online,,https://static-s.aa-cdn.net/img/gp/20600001436537/GcsdLQgHs8IHI3aoWbev0DJYuFWrVx5vhShEHV1xV1eVEcf8D8GchUSmi8EmY3iK4vQ_w80,1,com.schibsted.bomnegocio.androidApp,google-play,Google Play Store,android-all,All Android Devices,20200001433885,OLX Brasil,1000200000302606,OLX Brasil,BR,Brazil,1000200000302606,OLX Brasil,400053,Shopping,1000600000438682,OLX Brasil,app,App,6,0,6,-21,595,-163
20600002283821,Americanas: compras online,,https://static-s.aa-cdn.net/img/gp/20600002283821/95UEdYdWxPFtXWnF-cFTTrn6dYFUl91uDVnST2hr8xy30UYS3eywf3VHWYHSQggae7c_w80,1,com.b2w.americanas,google-play,Google Play Store,android-all,All Android Devices,20200004181434,americanas s.a.,,,,,,,400053,Shopping,1000600000524527,Americanas,app,App,6,-1,147,-190,12049,-1828
20600004527566,enjoei: comprar e vender roupa,,https://static-s.aa-cdn.net/img/gp/20600004527566/0Lh7u0YW_Vi7sYXt7ZGutXGFRDSYbWmD1l7s_sNeA85TwYI4V86jAfXqy7GDAsCMjQ_w80,1,br.com.enjoei.app,google-play,Google Play Store,android-all,All Android Devices,20200004277333,enjoei,,,,,,,400053,Shopping,1000600000510309,enjoei,app,App,6,0,17,5,6409,-704
20600006400836,"Loja C&A: Roupas, Sapatos e +",,https://static-s.aa-cdn.net/img/gp/20600006400836/S6IU8aCFu8Bm2bx4dQ5EhBbbqKzBmRIYm9LMsIn6DDevjJP29MedHtErAQumc1n4IA_w80,1,br.com.cea.appb2c,google-play,Google Play Store,android-all,All Android Devices,20200002010464,C&A Brasil,1000200000332563,C&A,BR,Brazil,1000200000332563,C&A,400053,Shopping,1000600000695152,C&A Brasil,app,App,6,2,17,-89,4718,-1846
20600006898349,AMARO: Comprar Moda e Beleza,,https://static-s.aa-cdn.net/img/gp/20600006898349/dDTMoqie6DXK-tPjUZ_IIijbwaCuaJooFioCPMvzHjQCr8d642apdWlY-lHlfv-pDHU_w80,1,amaro.amaroandroid,google-play,Google Play Store,android-all,All Android Devices,20200003707165,AMARO,,,,,,,400053,Shopping,1000600000658971,AMARO,app,App,6,1,92,-59,3086,1402
20600009983988,Facily: Compra Online e Oferta,,https://static-s.aa-cdn.net/img/gp/20600009983988/dnA1_JDGz6B6oT9S4GgCKKZBH0U-9KWAXQ5L8Qq4bUv39qtvuhrKT7NYu5CpE_i33GA_w80,1,com.facily,google-play,Google Play Store,android-all,All Android Devices,20200002717183,Faci.ly,1000200000483159,Faci.Ly,BR,Brazil,1000200000483159,Faci.Ly,400053,Shopping,1000600000806282,Facily | Social Commerce,app,App,6,1,89,86,1628,988
